pcn,item,mpn,current_onhand,corrected_onhand,phantom_removed,relabel_adjt_count,relabel_units,loc_to,mfg_qty
43852,8755L-15,101510GN/YE,2000,1000,1000,1,1000,MFG Floor,0
2203,5189-8,EEV-FC1V470P,1000,0,1000,1,1000,MFG Floor,1000
1713,7543-4,GRM155R61A224KE19D,1000,0,1000,1,1000,MFG Floor,1000
8891,5678ML-1,C322C104K1R5TA7303,1000,0,1000,1,1000,MFG Floor,1000
18087,6163L-9,C0805C106K4PACTU,1000,0,1000,1,1000,MFG Floor,1000
2046,8037-34,ERJ-3EKF1002V,1000,0,1000,1,1000,MFG Floor,1000
30079,6654l-25,C0603C103J5RACTU,1000,0,1000,1,1000,MFG Floor,1000
20137,8311M-4-5,XPEBRD-L1-0000-00901,1000,0,1000,1,1000,MFG Floor,1000
8281,7686-17,FBMH1608HL121-T,1000,0,1000,1,1000,MFG Floor,1000
1745,8044-4,ERJ-3EKF1001V,1000,0,1000,1,1000,MFG Floor,1000
1870,7848-7,C1206C104K5RAC7867,1000,0,1000,1,1000,MFG Floor,1000
5961,8223L-40,RC0402FR-0710KL,1000,0,1000,1,1000,MFG Floor,1000
565,6753-76,RG2012P-1542-B-T5,1000,0,1000,1,1000,MFG Floor,1000
12794,ACI-7004,C322C103K5R5TA7301,1000,0,1000,1,1000,MFG Floor,1000
988,7989M-36,ERJ-6ENF1001V,1000,0,1000,1,1000,MFG Floor,0
11446,7785-54,RC0402JR-070RL,1000,0,1000,1,1000,MFG Floor,1000
13622,6588-55,MCR10EZHFLR220,1000,0,1000,1,1000,MFG Floor,1000
38253,5540L-1,C326C104K1R5TA7301,1000,0,1000,2,1000,MFG Floor,500
32655,6163L-9,GRM21BR61E106KA73L,1000,0,1000,1,1000,MFG Floor,1000
40061,7946l-35,C0603C103K5RACTU,980,0,980,1,980,1502101,0
30144,7946L-190,RMCF0603FT10R0,921,0,921,1,921,1502203,0
7821,7860-6,C0603C101J5GACTU,920,0,920,1,920,MFG Floor,920
1727,8095-100,APL3015SURCK-F01,900,0,900,1,900,MFG Floor,900
34252,6590L-A-4,CC0805KRX7R9BB104,900,0,900,1,900,MFG Floor,900
37742,8162l-30,205-0398,1800,900,900,1,900,2103502,0
31704,8233L-110,MC33926PNBR2,1800,900,900,1,900,1103401,0
10314,8243-75,RC0805FR-074K7L,900,0,900,2,900,MFG Floor,0
1795,8083-2,0805ZC105KAT2A,900,0,900,1,900,MFG Floor,900
5750,7143L-12,CL10A105KA8NNNC,900,0,900,1,900,MFG Floor,900
376,8083-15,MCR10EZHF3320,900,0,900,1,900,MFG Floor,900
15891,8464L-40,ESR03EZPF1003,860,0,860,1,860,MFG Floor,0
33009,7946L-165,ERJ-6GEYJ560V,860,0,860,1,860,1502202,0
3829,8507l-130,MMBT5551,1700,850,850,1,850,1303603,0
37792,7946l-50,C1206C106K3PACTU,840,0,840,1,840,1502101,0
16054,8245L-240,RMCF0402FT47K0,820,0,820,1,820,MFG Floor,820
12919,8245L-45,CGA5L1X7R1H106K160AC,807,0,807,1,807,MFG Floor,807
13527,8243-1-45,RC0805FR-074K7L,800,0,800,1,800,MFG Floor,800
1923,8443L-20,GRM155R71C224KA12D,1380,580,800,1,800,1605003,0
483,8124L-60,RMCF0603JT10K0,800,0,800,1,800,MFG Floor,800
32912,8335ML-90,MC56F8323MFBE,800,0,800,1,800,MFG Floor,800
8222,8173-1-5,C0603C104K5RACTU,800,0,800,1,800,MFG Floor,800
4316,6970L-G1-12,FGB30N6S2D,800,0,800,1,800,MFG Floor,800
32911,8335ML-90,MC56F8323MFBE,800,0,800,1,800,MFG Floor,800
37719,7946l-345,BLM18KG601SN1D,800,0,800,1,800,MFG Floor,800
32910,8335ML-90,MC56F8323MFBE,1590,795,795,1,795,1602004,0
19418,8525ML-1-50,CL05A105KO5NNNC,755,0,755,1,755,MFG Floor,755
9246,7727-75,CMF552K0000FHEB,750,0,750,1,750,MFG Floor,575
9465,7726-23,RN60D4700FB14,1350,600,750,1,750,2202104,150
9438,7727-105,CMF5512K100FHEK,1440,690,750,1,750,2202304,60
29492,6758-125,ERJ-3EKF1003V,750,0,750,1,750,MFG Floor,750
9358,7728-340,MF1/4DCT52R4700F,750,0,750,1,750,MFG Floor,625
30691,6590L-A-4,CC0805KRX7R9BB104,740,0,740,1,740,MFG Floor,740
2240,6588-3,CC0805KRX7R9BB104,700,0,700,1,700,MFG Floor,700
11392,8342ML-280,ERJ-3GEYJ103V,700,0,700,2,700,MFG Floor,350
